epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
289,1855.8658544921875,1855.8658544921875,3728.6066192280164,3728.6066192280164
290,1742.5435131835939,1742.5435131835939,3167.0913784720683,3167.0913784720683
291,1846.468046875,1846.468046875,3485.2451587156816,3485.2451587156816
292,1894.8219303385417,1894.8219303385417,2989.112949544733,2989.112949544733
293,1687.7706315104167,1687.7706315104167,3434.6292629025197,3434.6292629025197
294,1861.6698754882811,1861.6698754882811,3269.662543123419,3269.662543123419
295,1674.016660563151,1674.016660563151,3244.150126023726,3244.150126023726
296,1877.4177604166666,1877.4177604166666,2873.8671897107906,2873.8671897107906
297,1830.4706066894532,1830.4706066894532,3208.098204872825,3208.098204872825
298,1682.9594498697916,1682.9594498697916,2888.4914251674304,2888.4914251674304
299,1794.567626953125,1794.567626953125,3101.8950033621354,3101.8950033621354
300,1797.3248514811198,1797.3248514811198,3294.0491365952926,3294.0491365952926
301,1782.9783081054688,1782.9783081054688,2808.88957231695,2808.88957231695
302,1783.5313415527344,1783.5313415527344,3076.2292693745007,3076.2292693745007
303,1892.2495971679687,1892.2495971679687,3363.20840215683,3363.20840215683
304,1766.0263749186197,1766.0263749186197,3368.287152377042,3368.287152377042
305,1796.039061686198,1796.039061686198,3410.8054474917326,3410.8054474917326
306,1804.9237141927083,1804.9237141927083,3456.6925892396407,3456.6925892396407
307,1748.6525907389323,1748.6525907389323,3228.2352988503194,3228.2352988503194
308,1601.3623435465495,1601.3623435465495,3397.074398907748,3397.074398907748
309,1757.780264892578,1757.780264892578,3511.4149531884627,3511.4149531884627
310,1839.4177848307293,1839.4177848307293,3420.9480413957076,3420.9480413957076
311,1841.7518009440105,1841.7518009440105,3307.812313079834,3307.812313079834
312,1824.2478942871094,1824.2478942871094,2461.361697630449,2461.361697630449
313,1791.90740234375,1791.90740234375,3041.237403002652,3041.237403002652
314,1932.7809879557292,1932.7809879557292,2641.0127792846074,2641.0127792846074
315,1864.6442553710938,1864.6442553710938,3367.6869557120585,3367.6869557120585
316,1954.242265625,1954.242265625,3229.9431842457166,3229.9431842457166
317,1753.986590983073,1753.986590983073,3340.0973933826795,3340.0973933826795
318,1770.271903483073,1770.271903483073,3353.3289238322864,3353.3289238322864
319,1681.0844427490235,1681.0844427490235,3205.1223279779606,3205.1223279779606
320,1849.1837333170572,1849.1837333170572,3417.673865925182,3417.673865925182
321,1751.175437825521,1751.175437825521,3441.685511935841,3441.685511935841
322,1769.3850708007812,1769.3850708007812,3515.4770181612535,3515.4770181612535
323,1808.3778784179688,1808.3778784179688,3245.9358755024996,3245.9358755024996
324,1753.548348388672,1753.548348388672,3127.7311201962557,3127.7311201962557
325,1747.679306640625,1747.679306640625,2998.7591353329744,2998.7591353329744
326,1859.502412109375,1859.502412109375,3348.817478093234,3348.817478093234
327,1854.563095703125,1854.563095703125,3451.4399779168043,3451.4399779168043
328,1695.223787434896,1695.223787434896,2999.0634573156185,2999.0634573156185
329,1790.2971700032551,1790.2971700032551,2303.5269555178556,2303.5269555178556
330,1794.3833024088542,1794.3833024088542,3177.233211517334,3177.233211517334
331,1763.376903483073,1763.376903483073,3235.093396620317,3235.093396620317
332,1791.2829089355469,1791.2829089355469,3339.1765852841463,3339.1765852841463
333,1834.3257779947917,1834.3257779947917,3171.4900547374377,3171.4900547374377
334,1732.8956477864583,1732.8956477864583,3490.3529151786456,3490.3529151786456
335,1826.5641227213541,1826.5641227213541,3653.31652763833,3653.31652763833
336,1783.8327278645834,1783.8327278645834,3165.4246079704976,3165.4246079704976
337,1863.3842944335938,1863.3842944335938,3213.4008226286282,3213.4008226286282
